Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15
0,0,21,4834,3239,3261,3275,3313,3284,3300,3271,3405,3403,-7,29751
0,0,21,4847,3239,3261,3263,3311,3284,3299,3271,3405,3415,0,29748
0,0,22,4860,3240,3255,3280,3305,3290,3294,3276,3400,3403,0,29743
0,0,22,4872,3239,3254,3280,3305,3290,3294,3276,3400,3404,7,29742
0,0,27,4885,3239,3256,3279,3309,3288,3297,3274,3403,3403,-7,29748
0,0,21,4911,3239,3260,3274,3312,3283,3299,3270,3405,3403,0,29745
0,0,19,4911,3239,3260,3274,3312,3283,3299,3269,3405,3403,0,29744
0,0,22,4923,3240,3256,3278,3307,3287,3295,3274,3401,3404,-7,29742
0,0,21,4936,3240,3253,3279,3304,3289,3293,3275,3400,3403,7,29736
0,0,19,4949,3239,3253,3279,3304,3289,3293,3275,3399,3404,0,29735
0,0,21,4962,3239,3258,3275,3309,3284,3297,3270,3404,3403,0,29739
0,0,22,4974,3238,3259,3273,3311,3282,3298,3269,3404,3403,-7,29737
0,0,21,4987,3239,3259,3273,3311,3281,3298,3268,3404,3403,7,29736
0,0,21,4987,3240,3254,3278,3304,3287,3293,3273,3399,3404,-7,29732
0,0,21,5000,3240,3252,3278,3303,3287,3292,3274,3399,3403,-7,29728
0,0,22,5013,3240,3252,3278,3303,3287,3292,3274,3398,3403,7,29727
0,0,22,5013,3239,3257,3273,3309,3282,3296,3268,3403,3403,-7,29730
0,0,21,5013,3239,3258,3272,3309,3281,3297,3267,3404,3403,-7,29730
0,0,21,5026,3239,3258,3272,3310,3280,3297,3267,3404,3403,-15,29730
0,0,21,5038,3240,3252,3277,3302,3286,3292,3273,3398,3404,0,29724
0,0,21,5038,3239,3251,3277,3302,3287,3291,3273,3398,3403,0,29721
0,0,21,5038,3240,3250,3277,3302,3287,3291,3273,3397,3404,-7,29721
0,0,21,5051,3239,3256,3272,3308,3280,3296,3267,3403,3403,-15,29724
0,0,21,5051,3239,3257,3271,3309,3280,3296,3266,3403,3403,0,29724
0,0,21,5064,3239,3257,3271,3309,3279,3296,3266,3403,3403,-7,29723
0,0,21,5064,3240,3250,3276,3302,3285,3290,3271,3397,3403,-7,29714
0,0,19,5064,3239,3250,3276,3301,3285,3290,3271,3397,3403,-7,29712
0,0,21,5077,3239,3249,3276,3301,3285,3289,3272,3397,3403,-7,29711
0,0,21,5077,3239,3255,3271,3308,3279,3295,3265,3402,3403,-15,29717
0,0,19,5077,3238,3255,3270,3308,3279,3295,3265,3402,3403,0,29715
0,0,21,5089,3238,3255,3270,3307,3279,3294,3266,3401,3403,-7,29713
0,0,19,5089,3239,3256,3269,3308,3278,3295,3264,3402,3403,-7,29714
0,0,19,5089,3238,3256,3268,3308,3277,3295,3264,3402,3403,-7,29711
0,0,21,5089,3239,3256,3270,3308,3279,3295,3264,3402,3403,0,29716
0,0,21,5102,3239,3256,3268,3308,3276,3295,3263,3402,3403,0,29710
0,0,21,5102,3239,3256,3267,3308,3276,3295,3262,3402,3403,-7,29708
0,0,21,5102,3239,3256,3267,3308,3276,3295,3263,3402,3403,0,29709
0,0,21,5102,3239,3256,3267,3308,3275,3295,3261,3402,3403,-7,29706
0,0,21,5102,3238,3256,3266,3308,3274,3295,3261,3402,3403,0,29703
0,0,17,5102,3239,3256,3265,3308,3274,3295,3260,3402,3403,-7,29702
0,0,21,5115,3238,3256,3265,3308,3274,3295,3260,3402,3403,-15,29701
0,0,21,5115,3238,3256,3265,3308,3273,3296,3259,3403,3403,-7,29701
0,0,21,5115,3239,3256,3265,3308,3273,3295,3259,3403,3403,-7,29701
0,0,21,5115,3239,3256,3264,3308,3273,3295,3259,3402,3403,-7,29699
0,0,29,5115,3239,3256,3264,3308,3272,3295,3258,3402,3403,-7,29697
0,0,21,5115,3238,3256,3263,3308,3272,3295,3258,3402,3403,0,29695
0,0,19,5115,3239,3256,3263,3308,3271,3295,3257,3402,3403,0,29694
0,0,21,5128,3239,3256,3262,3308,3271,3296,3257,3402,3403,-7,29694
0,0,21,5128,3239,3256,3262,3308,3271,3295,3257,3403,3403,-15,29694
0,0,21,5128,3239,3256,3262,3308,3270,3296,3256,3402,3403,-7,29692
0,0,21,5128,3238,3256,3261,3308,3269,3296,3256,3402,3403,-15,29689
0,0,21,5128,3238,3256,3261,3308,3269,3296,3255,3403,3403,-15,29689
0,0,19,5128,3239,3256,3260,3308,3269,3296,3255,3403,3403,-15,29689
0,0,19,5128,3239,3256,3260,3308,3268,3296,3255,3402,3403,-7,29687
0,0,21,5128,3240,3250,3265,3301,3274,3290,3260,3397,3403,-15,29680
0,0,17,5128,3240,3249,3266,3300,3274,3289,3261,3397,3403,-7,29679
0,0,19,5140,3240,3248,3266,3300,3275,3289,3261,3396,3403,-15,29678
0,0,19,5128,3238,3255,3260,3307,3268,3294,3254,3402,3403,-7,29681
0,0,19,5140,3239,3255,3260,3307,3268,3294,3254,3402,3403,0,29682
0,0,21,5140,3239,3254,3260,3306,3269,3293,3255,3401,3403,-7,29680
0,0,21,5140,3238,3255,3259,3307,3267,3294,3253,3402,3403,0,29678
0,0,21,5140,3239,3255,3258,3307,3267,3294,3252,3402,3403,0,29677
0,0,21,5140,3238,3255,3259,3307,3267,3294,3253,3402,3403,-7,29678
0,0,21,5140,3239,3255,3257,3307,3265,3294,3252,3402,3403,-15,29674
0,0,22,5140,3238,3255,3257,3307,3265,3294,3251,3402,3403,-7,29672
0,0,19,5140,3239,3255,3257,3308,3265,3295,3251,3402,3403,-7,29675
0,0,19,5140,3239,3255,3256,3307,3264,3295,3250,3402,3403,-15,29671
0,0,19,5140,3239,3255,3255,3307,3264,3295,3250,3402,3403,-7,29670
0,0,19,5153,3238,3255,3255,3307,3263,3294,3249,3402,3403,-7,29666
0,0,19,5153,3238,3255,3255,3307,3263,3294,3249,3402,3403,-7,29666
0,0,17,5153,3239,3255,3255,3307,3263,3295,3248,3402,3403,0,29667
0,0,19,5153,3239,3249,3260,3300,3269,3289,3253,3402,3403,-7,29664
0,0,19,5153,3239,3248,3260,3299,3269,3289,3253,3402,3403,-22,29662
0,0,17,5140,3239,3248,3260,3299,3269,3288,3254,3402,3403,-7,29662
0,0,21,5153,3239,3254,3255,3306,3263,3293,3248,3402,3403,-7,29663
0,0,19,5153,3239,3254,3254,3306,3262,3293,3248,3402,3403,-15,29661
0,0,19,5153,3239,3254,3253,3306,3262,3293,3247,3402,3403,-7,29659
0,0,17,5153,3240,3248,3259,3299,3268,3288,3252,3402,3403,-22,29659
0,0,17,5153,3240,3247,3259,3298,3268,3287,3252,3402,3403,-15,29656
0,0,21,5153,3240,3246,3259,3298,3268,3287,3252,3402,3403,-22,29655
0,0,19,5153,3238,3252,3253,3305,3262,3292,3247,3402,3403,-15,29654
0,0,19,5153,3238,3252,3253,3305,3261,3292,3247,3402,3403,-15,29653
0,0,19,5153,3238,3253,3252,3305,3261,3292,3246,3402,3403,-22,29652
0,0,19,5140,3240,3246,3258,3298,3267,3287,3251,3402,3403,-22,29652
0,0,17,5153,3240,3245,3258,3297,3267,3286,3252,3402,3403,-7,29650
0,0,19,5153,3239,3245,3258,3297,3267,3285,3251,3401,3414,-22,29657
0,0,19,5153,3239,3251,3252,3304,3260,3291,3246,3402,3403,-15,29648
0,0,19,5153,3239,3252,3251,3304,3260,3291,3245,3402,3403,-7,29647
0,0,19,5166,3240,3248,3255,3299,3264,3287,3249,3402,3403,-22,29647
0,0,21,5153,3240,3245,3257,3297,3266,3285,3250,3402,3403,-15,29645
0,0,16,5153,3240,3244,3257,3296,3266,3285,3250,3402,3403,-30,29643
0,0,17,5166,3239,3249,3252,3302,3260,3290,3246,3402,3403,-15,29643
0,0,17,5153,3239,3250,3251,3303,3259,3290,3245,3402,3403,-7,29642
0,0,19,5166,3239,3250,3250,3303,3259,3290,3244,3402,3403,-15,29640
0,0,17,5166,3240,3245,3255,3297,3264,3285,3248,3402,3403,-15,29639
0,0,19,5153,3240,3244,3255,3295,3264,3284,3249,3402,3403,-7,29636
0,0,19,5166,3239,3243,3256,3295,3264,3284,3249,3402,3403,-15,29635
0,0,17,5166,3239,3248,3256,3294,3264,3283,3249,3402,3407,-15,29642
0,0,19,5166,3239,3248,3256,3294,3265,3283,3249,3402,3407,-15,29643
0,0,19,5166,3238,3248,3256,3294,3265,3283,3249,3402,3407,-15,29642
0,0,17,5166,3239,3248,3256,3293,3265,3282,3249,3402,3406,-15,29640
0,0,17,5166,3239,3248,3256,3293,3264,3282,3249,3402,3407,-15,29640
0,0,19,5166,3238,3249,3256,3292,3265,3282,3250,3402,3407,-7,29641
0,0,19,5166,3239,3250,3251,3299,3259,3287,3244,3402,3403,-7,29634
0,0,19,5166,3239,3249,3250,3300,3258,3287,3243,3402,3403,-15,29631
0,0,17,5166,3239,3250,3249,3300,3257,3287,3243,3402,3403,-15,29630
0,0,17,5166,3240,3243,3255,3293,3263,3282,3247,3402,3403,-15,29628
0,0,19,5166,3240,3242,3255,3292,3264,3281,3248,3402,3403,-15,29627
0,0,17,5166,3240,3242,3255,3292,3264,3281,3248,3402,3403,-15,29627
0,0,17,5166,3238,3247,3255,3291,3264,3280,3248,3402,3407,-7,29632
0,0,17,5166,3238,3247,3255,3291,3263,3280,3248,3402,3406,-15,29630
0,0,19,5166,3239,3248,3254,3292,3263,3281,3248,3402,3407,-15,29634
0,0,19,5166,3239,3248,3255,3290,3264,3279,3248,3402,3407,-15,29632
0,0,19,5166,3239,3247,3255,3290,3264,3279,3248,3402,3406,-22,29630
0,0,19,5166,3238,3248,3255,3291,3264,3279,3248,3402,3407,-15,29632
0,0,19,5166,3239,3248,3255,3289,3264,3278,3248,3402,3406,-15,29629
0,0,19,5166,3238,3248,3255,3288,3264,3278,3248,3402,3406,-22,29627
0,0,17,5166,3239,3248,3255,3288,3264,3277,3248,3402,3406,-15,29627
0,0,17,5166,3239,3248,3255,3288,3264,3277,3248,3402,3406,-22,29627
0,0,17,5166,3238,3248,3255,3287,3264,3277,3248,3402,3407,-22,29626
0,0,16,5166,3239,3248,3255,3287,3264,3276,3248,3402,3407,-22,29626
0,0,19,5166,3238,3248,3255,3287,3264,3276,3248,3402,3406,-22,29624
0,0,17,5166,3239,3248,3255,3286,3264,3275,3249,3402,3407,-15,29625
0,0,19,5166,3239,3248,3255,3286,3264,3275,3248,3402,3406,-15,29623
0,0,17,5166,3239,3248,3255,3285,3264,3274,3248,3402,3406,-15,29621
0,0,19,5166,3239,3248,3255,3285,3264,3274,3248,3402,3406,-22,29621
0,0,17,5166,3239,3248,3255,3285,3264,3274,3248,3402,3406,-15,29621
0,0,17,5166,3239,3248,3255,3284,3264,3274,3248,3402,3406,-22,29620
0,0,17,5166,3239,3248,3255,3284,3264,3273,3248,3402,3406,-22,29619
0,0,19,5166,3238,3248,3255,3284,3264,3273,3248,3402,3406,-15,29618
0,0,19,5179,3239,3248,3255,3283,3264,3272,3248,3402,3406,-22,29617
0,0,17,5166,3239,3248,3255,3282,3264,3272,3248,3402,3407,-15,29617
0,0,16,5166,3239,3248,3255,3282,3264,3272,3249,3402,3406,-15,29617
0,0,19,5166,3239,3248,3255,3282,3264,3271,3248,3402,3406,-22,29615
0,0,17,5166,3239,3248,3255,3282,3264,3271,3249,3402,3406,-15,29616
0,0,17,5179,3239,3248,3255,3281,3264,3270,3249,3402,3406,-15,29614
0,0,17,5179,3238,3248,3255,3281,3264,3270,3249,3402,3406,-22,29613
0,0,19,5179,3239,3248,3255,3280,3264,3262,3248,3401,3414,-15,29611
0,0,19,5166,3239,3248,3255,3280,3264,3269,3248,3402,3406,-15,29611
0,0,17,5166,3239,3248,3255,3280,3264,3269,3248,3402,3406,-15,29611
0,0,19,5179,3239,3248,3255,3280,3264,3269,3249,3402,3406,-22,29612
0,0,17,5166,3239,3248,3255,3279,3264,3268,3249,3402,3406,-22,29610
0,0,19,5179,3239,3248,3255,3279,3264,3268,3249,3402,3406,-22,29610
0,0,19,5179,3239,3248,3255,3279,3264,3268,3249,3402,3406,-22,29610
0,0,16,5166,3239,3248,3255,3278,3264,3267,3249,3402,3406,-22,29608
0,0,17,5179,3239,3248,3255,3277,3264,3267,3249,3402,3406,-22,29607
0,0,17,5179,3239,3249,3250,3284,3258,3272,3244,3402,3403,-22,29601
0,0,19,5179,3238,3249,3249,3285,3257,3272,3243,3402,3403,-15,29598
0,0,17,5179,3238,3249,3249,3285,3257,3272,3242,3402,3402,-22,29596
0,0,17,5166,3239,3243,3254,3278,3262,3267,3247,3402,3403,-7,29595
0,0,17,5166,3240,3242,3254,3277,3263,3266,3247,3402,3402,-22,29593
0,0,17,5179,3240,3241,3254,3277,3263,3266,3247,3402,3402,-22,29592
0,0,17,5166,3239,3246,3254,3276,3263,3265,3249,3397,3407,-22,29596
0,0,17,5179,3239,3246,3254,3276,3263,3265,3248,3396,3407,-22,29594
0,0,17,5179,3238,3247,3254,3275,3263,3264,3248,3396,3407,-30,29592
0,0,16,5166,3238,3247,3254,3275,3263,3264,3247,3401,3406,-30,29595
0,0,17,5179,3239,3247,3254,3275,3263,3264,3247,3401,3406,-15,29596
0,0,17,5179,3238,3246,3254,3274,3263,3263,3247,3401,3406,-15,29592
0,0,16,5166,3239,3247,3254,3274,3263,3263,3247,3401,3406,-22,29594
0,0,16,5166,3239,3247,3254,3273,3263,3263,3247,3401,3406,-22,29593
0,0,17,5179,3239,3247,3254,3273,3263,3262,3241,3401,3414,-22,29594
0,0,17,5179,3239,3247,3254,3273,3263,3262,3247,3401,3406,-22,29592
0,0,19,5179,3239,3247,3254,3272,3263,3262,3247,3401,3406,-15,29591
0,0,19,5179,3238,3247,3253,3274,3262,3263,3247,3401,3406,-22,29591
0,0,21,5166,3239,3247,3254,3272,3263,3261,3247,3401,3406,-15,29590
0,0,19,5179,3239,3247,3254,3271,3263,3260,3247,3401,3406,-30,29588
0,0,17,5179,3239,3247,3254,3273,3263,3261,3247,3401,3406,-30,29591
0,0,27,5179,3238,3247,3254,3270,3263,3260,3247,3401,3406,-15,29586
0,0,17,5179,3239,3247,3254,3270,3263,3259,3247,3401,3406,-22,29586
0,0,16,5179,3239,3247,3254,3270,3263,3259,3247,3402,3406,-15,29587
