Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15
0,0,17,5093,3700,3703,3705,3709,3707,3710,3707,3713,3713,-7,33367
0,0,19,5105,3700,3703,3705,3709,3707,3710,3707,3713,3713,-7,33367
0,0,17,5105,3700,3703,3705,3709,3707,3710,3707,3713,3713,0,33367
0,0,17,5105,3700,3703,3704,3710,3707,3710,3707,3713,3713,0,33367
0,0,17,5105,3700,3703,3705,3709,3707,3710,3707,3714,3714,15,33369
0,0,17,5105,3700,3703,3705,3709,3707,3711,3707,3713,3713,-7,33368
0,0,17,5117,3700,3702,3705,3709,3707,3710,3707,3713,3713,7,33366
0,0,19,5105,3700,3703,3705,3709,3707,3710,3707,3713,3713,0,33367
0,0,19,5117,3700,3703,3705,3709,3707,3710,3707,3713,3713,7,33367
0,0,19,5117,3700,3703,3705,3709,3707,3710,3707,3713,3713,-7,33367
0,0,19,5117,3700,3703,3705,3709,3707,3710,3707,3713,3713,0,33367
0,0,17,5118,3700,3703,3705,3709,3707,3710,3707,3713,3713,-7,33367
0,0,19,5117,3700,3703,3705,3710,3707,3710,3707,3713,3713,7,33368
0,0,17,5118,3700,3703,3705,3709,3707,3710,3707,3713,3713,7,33367
0,0,17,5117,3700,3703,3705,3709,3707,3710,3707,3713,3713,0,33367
0,0,17,5117,3700,3703,3705,3709,3707,3711,3707,3713,3714,0,33369
0,0,19,5131,3700,3703,3705,3709,3707,3710,3707,3714,3713,15,33368
0,0,19,5130,3700,3703,3705,3710,3707,3710,3707,3713,3713,0,33368
0,0,17,5131,3700,3703,3705,3709,3707,3710,3707,3714,3713,0,33368
0,0,16,5132,3700,3703,3705,3709,3707,3710,3707,3713,3713,-7,33367
0,0,19,5130,3700,3703,3705,3709,3707,3710,3707,3714,3713,0,33368
0,0,16,5139,3700,3703,3705,3709,3707,3711,3707,3713,3713,7,33368
0,0,17,5130,3700,3703,3705,3709,3707,3711,3707,3714,3713,7,33369
0,0,17,5130,3700,3703,3705,3710,3707,3711,3707,3714,3713,0,33370
0,0,19,5130,3700,3703,3705,3709,3707,3710,3707,3714,3713,0,33368
0,0,16,5130,3700,3703,3705,3709,3707,3710,3707,3714,3713,15,33368
0,0,19,5130,3700,3703,3705,3709,3707,3711,3707,3713,3713,7,33368
0,0,16,5130,3700,3703,3705,3710,3707,3710,3707,3713,3713,0,33368
0,0,16,5130,3700,3703,3705,3709,3708,3711,3707,3713,3713,0,33369
0,0,16,5130,3700,3703,3705,3709,3707,3710,3707,3713,3713,7,33367
0,0,14,5130,3700,3703,3705,3709,3707,3710,3707,3713,3713,0,33367
0,0,14,5130,3700,3703,3705,3709,3707,3710,3707,3713,3713,0,33367
0,0,19,5130,3700,3703,3705,3709,3707,3711,3707,3713,3713,-7,33368
0,0,19,5130,3700,3703,3705,3710,3707,3710,3707,3713,3713,-7,33368
0,0,22,5130,3700,3703,3705,3709,3707,3710,3707,3713,3713,0,33367
0,0,12,5130,3700,3703,3705,3710,3707,3710,3707,3713,3713,0,33368
0,0,19,5130,3700,3703,3705,3709,3707,3711,3707,3713,3713,-7,33368
0,0,19,5130,3700,3703,3705,3710,3707,3710,3707,3713,3713,0,33368
0,0,19,5130,3700,3703,3705,3710,3707,3710,3707,3713,3713,-7,33368
0,0,12,5130,3700,3703,3705,3709,3707,3710,3707,3713,3713,-7,33367
0,0,12,5130,3700,3703,3705,3709,3707,3711,3707,3713,3713,7,33368
0,0,19,5130,3700,3703,3705,3709,3707,3711,3707,3713,3713,-7,33368
0,0,19,5130,3700,3703,3705,3709,3707,3710,3707,3713,3713,7,33367
0,0,9,5130,3700,3703,3704,3710,3707,3710,3707,3713,3713,0,33367
0,0,19,5130,3700,3703,3705,3710,3707,3710,3707,3713,3713,15,33368
0,0,17,5130,3700,3703,3705,3709,3707,3711,3707,3713,3713,7,33368
0,0,17,5130,3700,3703,3705,3709,3707,3711,3707,3713,3713,7,33368
0,0,11,5130,3700,3703,3705,3709,3707,3710,3707,3714,3714,0,33369
0,0,14,5130,3700,3703,3705,3709,3707,3710,3707,3713,3713,0,33367
246,0,8,32857,3700,3703,3705,3709,3707,3710,3707,3713,3714,7,33368
607,7,401,32965,3731,3704,3706,3711,3709,3712,3709,3715,3750,164,33447
941,7,868,33103,3835,3711,3712,3719,3715,3718,3714,3721,3881,553,33726
