Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15
0,0,14,35207,3913,3913,3912,3909,3913,3904,3909,3912,3917,0,35202
0,0,14,35207,3913,3914,3912,3909,3913,3904,3909,3912,3916,-7,35202
0,0,14,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,-7,35201
0,0,14,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,0,35201
0,0,14,35216,3913,3913,3913,3909,3913,3904,3909,3912,3916,7,35202
0,0,14,35207,3913,3913,3912,3909,3913,3904,3909,3912,3917,7,35202
0,0,14,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,7,35201
0,0,14,35207,3913,3913,3912,3909,3913,3904,3910,3912,3916,0,35202
0,0,14,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,0,35201
0,0,14,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,0,35201
0,0,14,35207,3913,3913,3912,3909,3913,3904,3909,3912,3917,-7,35202
0,0,14,35207,3913,3913,3912,3909,3913,3904,3910,3912,3916,7,35202
0,0,16,35207,3913,3914,3912,3909,3913,3904,3909,3912,3917,-7,35203
0,0,14,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,7,35201
0,0,12,35216,3913,3913,3913,3909,3913,3904,3909,3912,3916,7,35202
0,0,16,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,-7,35201
0,0,12,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,15,35201
0,0,14,35207,3913,3913,3912,3909,3913,3904,3910,3912,3916,0,35202
0,0,14,35207,3913,3913,3912,3909,3913,3904,3910,3912,3917,0,35203
0,0,14,35207,3913,3913,3912,3909,3913,3904,3910,3912,3916,0,35202
0,0,14,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,-7,35201
0,0,14,35207,3913,3913,3912,3909,3913,3904,3910,3912,3916,-7,35202
0,0,16,35207,3913,3914,3912,3909,3913,3904,3909,3912,3916,7,35202
0,0,12,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,0,35201
0,0,16,35207,3913,3913,3912,3909,3913,3904,3910,3913,3917,0,35204
0,0,14,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,0,35201
0,0,16,35207,3913,3913,3912,3909,3913,3904,3910,3912,3916,7,35202
0,0,14,35207,3913,3913,3912,3909,3913,3904,3909,3912,3917,0,35202
0,0,14,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,0,35201
0,0,12,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,0,35201
0,0,12,35207,3913,3914,3912,3909,3913,3904,3910,3912,3916,7,35203
0,0,14,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,0,35201
0,0,12,35207,3913,3913,3912,3909,3913,3904,3910,3913,3916,-7,35203
0,0,12,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,-7,35201
0,0,14,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,7,35201
0,0,12,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,0,35201
0,0,12,35207,3913,3914,3912,3909,3913,3904,3909,3912,3916,7,35202
0,0,16,35207,3913,3913,3912,3909,3913,3904,3909,3912,3917,7,35202
0,0,14,35207,3913,3913,3912,3909,3913,3904,3910,3912,3916,0,35202
0,0,14,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,0,35201
0,0,11,35207,3913,3913,3912,3909,3913,3904,3910,3912,3916,7,35202
0,0,14,35207,3913,3913,3912,3909,3913,3904,3909,3913,3916,7,35202
0,0,14,35207,3913,3913,3912,3909,3913,3904,3910,3912,3916,0,35202
0,0,12,35207,3913,3913,3912,3909,3913,3904,3909,3912,3916,7,35201
