Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12
0,0,33351,3696,3704,3709,3706,3707,3708,3707,3710,3704
0,-7,33349,3695,3704,3709,3706,3707,3707,3707,3710,3704
0,0,33348,3695,3704,3709,3706,3707,3707,3707,3709,3704
0,0,33352,3696,3705,3706,3710,3707,3707,3707,3710,3704
0,-7,33351,3696,3705,3706,3710,3707,3707,3707,3709,3704
0,0,33351,3696,3705,3706,3710,3707,3707,3707,3709,3704
0,-7,33348,3695,3704,3709,3706,3707,3707,3707,3709,3704
0,-7,33349,3696,3704,3709,3706,3707,3707,3707,3709,3704
0,7,33349,3696,3704,3709,3706,3707,3707,3707,3709,3704
0,-7,33347,3696,3705,3706,3711,3703,3711,3703,3712,3700
0,0,33347,3696,3705,3706,3711,3703,3711,3703,3712,3700
0,-7,33347,3696,3705,3706,3711,3703,3711,3703,3712,3700
0,-7,33349,3696,3704,3709,3706,3707,3707,3707,3709,3704
0,-7,33348,3695,3704,3709,3706,3707,3707,3707,3709,3704
0,0,33349,3696,3704,3709,3706,3707,3707,3707,3709,3704
0,-7,33346,3696,3705,3706,3711,3703,3711,3703,3711,3700
0,-7,33346,3695,3705,3706,3711,3703,3711,3703,3712,3700
0,-7,33345,3695,3705,3705,3711,3703,3711,3703,3712,3700
0,0,33350,3695,3704,3709,3708,3706,3708,3706,3710,3704
0,0,33348,3696,3704,3709,3706,3706,3707,3707,3709,3704
0,0,33347,3695,3704,3709,3706,3707,3707,3706,3709,3704
0,-7,33348,3696,3704,3708,3710,3705,3710,3704,3711,3700
0,-7,33346,3695,3705,3706,3711,3703,3711,3703,3712,3700
0,7,33346,3696,3705,3705,3711,3703,3711,3702,3712,3701
0,-7,33348,3695,3704,3706,3710,3704,3709,3704,3712,3704
0,0,33348,3696,3704,3709,3706,3707,3707,3706,3709,3704
0,0,33347,3696,3704,3709,3706,3706,3707,3706,3709,3704
0,0,33349,3696,3704,3709,3706,3707,3707,3707,3709,3704
0,0,33344,3696,3705,3706,3711,3702,3711,3702,3711,3700
0,0,33344,3696,3705,3705,3711,3702,3711,3702,3712,3700
0,0,33344,3695,3705,3706,3711,3702,3711,3702,3712,3700
0,-7,33346,3695,3704,3709,3706,3706,3707,3706,3709,3704
0,-15,33347,3696,3704,3709,3706,3706,3707,3706,3709,3704
0,-7,33346,3696,3704,3709,3706,3706,3706,3706,3709,3704
0,0,33353,3696,3705,3705,3710,3705,3709,3706,3709,3708
0,0,33353,3695,3705,3705,3710,3706,3709,3706,3709,3708
0,0,33353,3695,3705,3705,3710,3706,3709,3706,3709,3708
0,0,33347,3696,3704,3709,3706,3706,3707,3706,3709,3704
0,-7,33349,3696,3704,3709,3706,3707,3707,3707,3709,3704
0,7,33349,3696,3704,3709,3706,3707,3707,3707,3709,3704
0,0,33350,3696,3705,3705,3710,3706,3710,3703,3711,3704
0,0,33349,3696,3705,3705,3710,3706,3710,3702,3711,3704
0,7,33350,3696,3705,3705,3710,3706,3710,3702,3712,3704
0,7,33346,3696,3704,3708,3706,3706,3707,3706,3709,3704
0,0,33348,3696,3704,3709,3706,3707,3707,3706,3709,3704
0,0,33347,3696,3704,3709,3706,3707,3706,3706,3709,3704
0,7,33347,3696,3705,3705,3711,3703,3709,3706,3708,3704
0,0,33346,3696,3705,3705,3711,3702,3709,3706,3708,3704
0,-7,33347,3696,3705,3705,3711,3703,3709,3706,3708,3704
0,-7,33346,3696,3704,3708,3706,3706,3707,3706,3709,3704
0,0,33346,3696,3704,3709,3706,3706,3706,3706,3709,3704
0,0,33347,3696,3704,3709,3706,3706,3706,3707,3709,3704
0,-7,33347,3696,3705,3705,3711,3703,3709,3706,3708,3704
0,0,33345,3695,3705,3705,3711,3702,3709,3706,3708,3704
0,0,33347,3696,3705,3705,3711,3702,3709,3707,3708,3704
0,0,33345,3695,3704,3708,3706,3706,3707,3707,3708,3704
0,0,33343,3695,3704,3708,3705,3706,3706,3707,3708,3704
0,0,33344,3696,3704,3709,3705,3706,3706,3706,3708,3704
0,-7,33351,3696,3705,3705,3709,3705,3709,3706,3708,3708
0,0,33351,3696,3705,3705,3709,3705,3709,3706,3708,3708
0,-7,33353,3696,3706,3705,3710,3705,3709,3706,3708,3708
0,-15,33344,3696,3704,3708,3706,3706,3706,3706,3708,3704
0,-7,33344,3695,3704,3708,3706,3706,3706,3707,3708,3704
0,0,33345,3696,3704,3708,3705,3707,3706,3707,3708,3704
0,7,33342,3696,3705,3705,3710,3703,3710,3703,3710,3700
0,-7,33342,3696,3705,3705,3711,3702,3710,3703,3710,3700
0,0,33341,3696,3705,3705,3710,3702,3710,3702,3711,3700
0,0,33344,3696,3704,3708,3706,3706,3706,3706,3708,3704
0,-15,33344,3696,3704,3708,3706,3706,3706,3706,3708,3704
0,-7,33343,3696,3704,3708,3705,3706,3706,3706,3708,3704
0,-15,33351,3695,3704,3707,3708,3706,3708,3706,3709,3708
0,-7,33350,3696,3705,3705,3709,3705,3709,3706,3707,3708
0,-7,33351,3696,3705,3705,3709,3705,3709,3706,3708,3708
0,0,33347,3696,3705,3705,3709,3705,3709,3705,3709,3704
0,-7,33344,3696,3704,3708,3705,3706,3706,3707,3708,3704
0,-7,33343,3696,3704,3708,3705,3706,3706,3706,3708,3704
0,-7,33350,3696,3704,3708,3705,3706,3706,3706,3707,3712
0,-7,33350,3696,3705,3705,3709,3705,3709,3706,3707,3708
0,0,33351,3696,3705,3705,3710,3705,3709,3706,3707,3708
0,-7,33350,3696,3705,3704,3709,3705,3709,3707,3707,3708
0,0,33342,3696,3704,3708,3705,3706,3706,3706,3707,3704
0,-7,33344,3696,3704,3708,3705,3707,3706,3707,3707,3704
0,-7,33344,3696,3704,3708,3705,3706,3706,3707,3708,3704
0,0,33346,3696,3705,3705,3709,3705,3710,3702,3710,3704
0,-7,33346,3696,3705,3705,3709,3705,3710,3702,3710,3704
0,-7,33345,3696,3705,3704,3709,3705,3710,3702,3710,3704
0,0,33343,3696,3704,3708,3705,3706,3706,3706,3708,3704
0,0,33342,3696,3704,3708,3705,3706,3706,3706,3707,3704
0,-7,33343,3695,3704,3708,3705,3707,3706,3706,3708,3704
0,0,33343,3696,3705,3704,3710,3702,3709,3706,3707,3704
0,-7,33344,3696,3706,3704,3710,3702,3709,3706,3707,3704
0,-7,33343,3696,3705,3704,3710,3702,3709,3706,3707,3704
0,-7,33342,3696,3704,3708,3705,3706,3706,3706,3707,3704
0,-7,33342,3696,3704,3708,3705,3706,3706,3706,3707,3704
0,-7,33342,3696,3704,3708,3705,3706,3706,3706,3707,3704
0,-15,33349,3696,3705,3705,3709,3705,3708,3706,3707,3708
0,-7,33348,3696,3705,3704,3709,3705,3708,3706,3707,3708
0,0,33349,3696,3705,3704,3709,3705,3709,3706,3707,3708
0,7,33341,3695,3704,3708,3705,3706,3706,3706,3707,3704
0,0,33343,3696,3704,3708,3705,3706,3706,3707,3707,3704
0,0,33342,3696,3704,3708,3705,3706,3706,3706,3707,3704
0,-7,33347,3696,3705,3704,3708,3705,3708,3706,3707,3708
0,-7,33350,3696,3706,3704,3709,3706,3708,3706,3707,3708
0,-7,33350,3696,3706,3704,3709,3705,3709,3706,3707,3708
0,-7,33342,3695,3704,3708,3705,3707,3706,3706,3707,3704
0,-7,33342,3696,3704,3708,3705,3706,3706,3706,3707,3704
0,-7,33342,3696,3704,3708,3705,3706,3706,3706,3707,3704
0,-7,33350,3696,3706,3704,3709,3706,3708,3706,3707,3708
0,7,33349,3696,3705,3704,3709,3706,3708,3706,3707,3708
0,0,33347,3695,3706,3704,3709,3705,3708,3706,3706,3708
0,-15,33342,3696,3704,3708,3705,3706,3706,3706,3707,3704
0,-15,33343,3696,3704,3708,3705,3706,3706,3707,3707,3704
0,-15,33342,3696,3704,3708,3704,3707,3706,3706,3707,3704
0,-7,33342,3696,3706,3704,3709,3703,3708,3706,3706,3704
0,-7,33342,3696,3706,3704,3710,3702,3708,3706,3706,3704
0,-15,33341,3696,3705,3704,3710,3702,3708,3706,3706,3704
0,-15,33343,3696,3704,3708,3705,3706,3706,3705,3709,3704
0,-7,33344,3696,3704,3708,3704,3706,3706,3706,3710,3704
0,-15,33342,3696,3704,3708,3704,3706,3706,3705,3709,3704
0,-7,33348,3696,3704,3707,3706,3705,3707,3706,3709,3708
0,-7,33346,3696,3705,3704,3708,3705,3708,3706,3706,3708
0,-7,33346,3696,3705,3704,3708,3705,3708,3706,3706,3708
0,-22,33350,3696,3705,3704,3708,3705,3708,3705,3707,3712
0,-22,33344,3696,3704,3708,3705,3706,3706,3705,3710,3704
0,-7,33342,3696,3704,3707,3704,3706,3706,3705,3710,3704
0,-15,33343,3696,3704,3708,3704,3706,3706,3705,3710,3704
0,-15,33347,3696,3705,3704,3708,3705,3708,3706,3707,3708
0,-15,33346,3696,3705,3704,3708,3705,3708,3706,3706,3708
0,-7,33340,3694,3704,3704,3708,3705,3708,3705,3708,3704
0,-7,33343,3696,3705,3707,3704,3706,3706,3705,3710,3704
0,-22,33343,3696,3704,3708,3704,3706,3706,3705,3710,3704
0,-15,33347,3696,3704,3708,3704,3706,3703,3705,3709,3712
0,0,33347,3696,3705,3704,3708,3705,3708,3706,3707,3708
0,-22,33347,3696,3705,3704,3708,3705,3708,3706,3707,3708
0,0,33346,3696,3705,3704,3708,3705,3708,3706,3706,3708
0,-15,33342,3696,3704,3707,3704,3706,3706,3705,3710,3704
0,-15,33342,3696,3704,3708,3704,3706,3705,3705,3710,3704
0,0,33343,3696,3705,3708,3704,3706,3705,3705,3710,3704
0,0,33346,3696,3705,3704,3708,3705,3708,3706,3706,3708
0,-7,33348,3696,3705,3704,3708,3706,3708,3707,3706,3708
0,-7,33346,3696,3706,3703,3708,3705,3708,3706,3706,3708
0,-15,33341,3696,3704,3707,3704,3706,3705,3705,3710,3704
0,-15,33341,3696,3704,3707,3704,3706,3705,3705,3710,3704
0,-15,33341,3696,3704,3707,3704,3706,3705,3705,3710,3704
0,-22,33347,3696,3705,3704,3708,3706,3708,3706,3706,3708
0,-15,33346,3696,3705,3704,3708,3705,3708,3706,3706,3708
0,-22,33346,3696,3705,3703,3708,3706,3708,3706,3706,3708
0,-15,33342,3696,3704,3707,3704,3706,3706,3705,3710,3704
0,-15,33341,3696,3704,3707,3704,3706,3705,3705,3710,3704
0,-7,33342,3696,3704,3708,3704,3706,3705,3705,3710,3704
0,-15,33347,3696,3705,3704,3708,3705,3708,3707,3706,3708
0,-15,33347,3696,3706,3704,3708,3705,3708,3706,3706,3708
0,-22,33345,3696,3705,3703,3708,3705,3708,3706,3706,3708
0,-15,33341,3696,3704,3707,3704,3706,3705,3705,3710,3704
0,-15,33341,3696,3704,3707,3704,3706,3705,3705,3710,3704
0,-7,33342,3696,3704,3707,3704,3707,3705,3705,3710,3704
0,-22,33345,3696,3705,3704,3708,3705,3707,3706,3706,3708
0,-15,33346,3696,3705,3704,3708,3705,3708,3706,3706,3708
0,-15,33348,3696,3706,3704,3708,3706,3708,3706,3706,3708
0,-22,33341,3696,3704,3707,3704,3706,3705,3705,3710,3704
0,-15,33341,3696,3704,3707,3704,3706,3705,3705,3710,3704
0,-15,33342,3696,3705,3707,3704,3706,3705,3705,3710,3704
0,0,33346,3696,3706,3704,3708,3705,3707,3706,3706,3708
0,-7,33346,3696,3706,3704,3708,3705,3707,3706,3706,3708
0,-15,33346,3696,3705,3703,3708,3706,3708,3706,3706,3708
0,-7,33340,3696,3704,3707,3704,3706,3705,3705,3709,3704
0,-15,33342,3696,3704,3707,3704,3706,3705,3706,3710,3704
0,0,33341,3696,3704,3707,3704,3706,3705,3705,3710,3704
0,-15,33344,3696,3705,3703,3707,3706,3707,3706,3706,3708
0,-15,33345,3696,3705,3703,3708,3705,3707,3707,3706,3708
0,-22,33346,3696,3706,3703,3708,3705,3708,3706,3706,3708
0,-7,33342,3696,3704,3707,3705,3706,3705,3706,3709,3704
0,-7,33341,3696,3704,3707,3704,3706,3705,3705,3710,3704
0,-7,33340,3696,3704,3707,3703,3706,3705,3705,3710,3704
0,-15,33340,3696,3706,3703,3709,3702,3707,3707,3706,3704
0,-15,33339,3696,3705,3703,3709,3702,3707,3707,3706,3704
0,-22,33340,3696,3705,3703,3709,3702,3708,3707,3706,3704
0,-37,33341,3696,3705,3707,3704,3706,3705,3705,3709,3704
