Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12
0,7,37764,4191,4199,4190,4192,4199,4193,4199,4199,4202
0,-7,37764,4191,4199,4190,4192,4199,4193,4199,4199,4202
0,7,37764,4191,4199,4190,4192,4199,4193,4199,4199,4202
0,7,37764,4191,4199,4190,4192,4199,4193,4199,4199,4202
0,0,37764,4191,4199,4190,4192,4199,4193,4199,4199,4202
0,7,37764,4191,4199,4190,4192,4199,4193,4199,4199,4202
0,7,37764,4191,4199,4190,4192,4199,4193,4199,4199,4202
0,0,37764,4191,4199,4190,4192,4199,4193,4199,4199,4202
244,-7,37764,4191,4199,4190,4192,4199,4193,4199,4199,4202
596,150,37822,4213,4200,4191,4193,4200,4194,4200,4200,4231
917,628,38073,4316,4204,4195,4198,4204,4198,4204,4205,4349
1269,1009,38338,4433,4208,4199,4203,4208,4202,4208,4209,4468
1578,1286,38562,4532,4212,4203,4207,4212,4206,4212,4212,4566
1902,1346,38605,4557,4213,4203,4207,4212,4206,4212,4212,4583
2257,1368,38606,4558,4213,4203,4208,4212,4206,4212,4213,4581
2566,1353,38613,4557,4213,4203,4208,4213,4207,4213,4213,4586
2890,1353,38616,4559,4214,4204,4208,4213,4207,4213,4213,4585
3245,1353,38617,4559,4214,4204,4209,4214,4207,4213,4214,4583
3567,1353,38620,4559,4215,4204,4209,4214,4208,4214,4214,4583
3878,1353,38617,4556,4215,4205,4209,4214,4208,4214,4214,4582
4233,1346,38619,4557,4215,4205,4209,4215,4208,4214,4215,4581
4555,1338,38621,4557,4215,4205,4210,4215,4208,4215,4215,4581
4909,1346,38621,4556,4215,4206,4210,4215,4208,4215,4215,4581
5218,1346,38623,4556,4216,4206,4210,4215,4209,4215,4215,4581
5543,1338,38621,4555,4216,4206,4210,4215,4209,4215,4215,4580
5897,1331,38621,4554,4216,4206,4211,4216,4209,4215,4215,4579
6222,1338,38622,4554,4216,4206,4211,4216,4209,4215,4216,4579
6531,1331,38622,4554,4216,4206,4211,4216,4209,4215,4216,4579
6886,1331,38624,4553,4217,4207,4211,4216,4210,4216,4216,4578
7210,1338,38625,4553,4217,4207,4212,4216,4210,4216,4216,4578
7519,1323,38625,4553,4217,4207,4212,4216,4210,4216,4216,4578
7874,1323,38626,4553,4218,4207,4212,4217,4210,4216,4216,4577
8198,1323,38626,4553,4217,4207,4212,4217,4210,4217,4217,4576
8553,1323,38628,4552,4218,4207,4212,4217,4211,4217,4217,4577
8862,1323,38629,4552,4218,4208,4212,4217,4211,4217,4217,4577
9184,1316,38628,4552,4218,4208,4212,4217,4211,4217,4217,4576
9538,1323,38628,4551,4218,4208,4213,4217,4211,4217,4217,4576
9862,1308,38629,4552,4218,4208,4213,4217,4211,4217,4218,4575
10172,1308,38629,4551,4218,4208,4213,4218,4211,4217,4218,4575
10529,1308,38631,4551,4219,4208,4213,4218,4211,4218,4218,4575
10854,1308,38632,4551,4219,4208,4213,4218,4212,4218,4218,4575
11209,1308,38632,4551,4219,4209,4213,4218,4212,4218,4218,4574
11520,1301,38632,4551,4219,4209,4213,4218,4212,4218,4218,4574
11845,1308,38632,4551,4219,4209,4213,4218,4212,4218,4218,4574
12200,1308,38634,4550,4219,4209,4214,4219,4212,4218,4219,4574
12512,1301,38634,4550,4219,4209,4214,4219,4212,4219,4219,4573
12837,1301,38634,4550,4219,4209,4214,4219,4212,4218,4219,4574
13194,1301,38636,4550,4220,4209,4214,4219,4213,4219,4219,4573
13518,1293,38636,4550,4220,4209,4214,4219,4213,4219,4219,4573
13830,1293,38637,4550,4220,4210,4214,4219,4213,4219,4219,4573
14185,1293,38636,4549,4220,4210,4214,4219,4213,4219,4220,4572
14510,1293,38637,4549,4220,4210,4214,4220,4213,4219,4220,4572
14865,1301,38638,4549,4221,4210,4215,4220,4213,4219,4220,4571
15176,1293,38639,4549,4221,4210,4215,4220,4213,4220,4220,4571
15501,1286,38639,4548,4221,4210,4215,4220,4214,4220,4220,4571
15856,1286,38638,4548,4221,4210,4215,4220,4213,4220,4220,4571
16180,1286,38640,4548,4221,4211,4215,4220,4214,4220,4220,4571
16492,1286,38640,4548,4221,4211,4215,4220,4214,4220,4220,4571
16847,1279,38639,4548,4221,4211,4215,4220,4214,4220,4220,4570
17171,1286,38639,4547,4222,4211,4215,4220,4214,4220,4220,4570
17483,1286,38642,4548,4222,4211,4215,4221,4214,4220,4221,4570
17838,1279,38643,4547,4222,4211,4216,4221,4214,4221,4221,4570
18162,1279,38642,4547,4222,4211,4216,4221,4214,4221,4221,4569
18517,1286,38642,4547,4222,4211,4216,4221,4214,4221,4221,4569
18829,1316,38667,4558,4222,4211,4216,4222,4215,4221,4221,4581
19153,1316,38672,4559,4223,4212,4217,4222,4215,4221,4222,4581
19508,1316,38671,4557,4223,4212,4217,4222,4215,4222,4222,4581
19832,1316,38672,4559,4223,4212,4217,4222,4215,4222,4222,4580
20144,1316,38672,4558,4223,4212,4217,4222,4215,4222,4222,4581
20505,15,37868,4203,4211,4201,4203,4210,4205,4210,4211,4214
20826,22,37865,4202,4211,4201,4203,4210,4204,4210,4210,4214
21178,15,37862,4202,4210,4200,4203,4210,4204,4210,4210,4213
21487,7,37857,4201,4210,4200,4202,4209,4203,4209,4210,4213
21808,15,37857,4201,4210,4200,4202,4209,4203,4209,4210,4213
22160,7,37855,4201,4210,4199,4202,4209,4203,4209,4210,4212
22481,0,37854,4201,4210,4199,4202,4209,4203,4209,4209,4212
22790,7,37853,4201,4209,4199,4202,4209,4203,4209,4209,4212
23141,0,37848,4200,4209,4199,4201,4209,4202,4208,4208,4212
23462,0,37848,4200,4209,4199,4201,4208,4202,4208,4209,4212
23768,7,37847,4200,4209,4199,4201,4208,4202,4208,4208,4212
24119,7,37846,4200,4209,4198,4201,4208,4202,4208,4208,4212
24438,7,37845,4200,4208,4199,4201,4208,4202,4208,4208,4211
24789,15,37845,4200,4209,4198,4201,4208,4202,4208,4208,4211
25098,15,37845,4200,4209,4198,4201,4208,4202,4208,4208,4211
25419,15,37844,4200,4208,4198,4201,4208,4202,4208,4208,4211
25771,0,37843,4200,4208,4198,4201,4208,4202,4207,4208,4211
26092,7,37840,4199,4208,4198,4200,4207,4202,4207,4208,4211
26400,0,37840,4199,4208,4198,4200,4207,4202,4207,4208,4211
26752,0,37838,4199,4208,4198,4200,4207,4201,4207,4207,4211
27073,15,37839,4199,4208,4198,4200,4207,4201,4207,4208,4211
27382,-7,37839,4199,4208,4198,4200,4208,4201,4207,4208,4210
27734,7,37838,4199,4208,4198,4200,4207,4201,4207,4207,4211
28055,22,37838,4199,4208,4198,4200,4207,4201,4207,4207,4211
28407,7,37838,4199,4208,4198,4200,4207,4201,4207,4207,4211
28713,7,37837,4199,4208,4198,4200,4207,4201,4207,4207,4210
29034,0,37838,4199,4208,4198,4200,4207,4201,4207,4207,4211
29385,0,37838,4199,4208,4198,4200,4207,4201,4207,4207,4211
29704,0,37837,4199,4208,4198,4200,4207,4201,4207,4207,4210
30012,7,37837,4199,4208,4198,4200,4207,4201,4207,4207,4210
30363,7,37837,4199,4207,4198,4200,4207,4201,4207,4207,4211
30685,7,37837,4199,4208,4198,4200,4207,4201,4207,4207,4210
30993,0,37837,4199,4208,4198,4200,4207,4201,4207,4207,4210
31344,7,37835,4199,4208,4197,4200,4207,4201,4206,4207,4210
31663,15,37837,4199,4208,4198,4200,4207,4201,4207,4207,4210
32017,0,37836,4199,4208,4198,4199,4207,4201,4207,4207,4210
32323,7,37834,4198,4207,4197,4200,4207,4201,4207,4207,4210
32645,0,37833,4199,4207,4197,4199,4206,4201,4207,4207,4210
32996,0,37833,4199,4207,4197,4199,4207,4201,4206,4207,4210
33302,7,37833,4199,4207,4197,4199,4207,4201,4206,4207,4210
33623,0,37834,4198,4207,4197,4200,4207,4201,4207,4207,4210
