Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12
0,0,37943,4216,4219,4209,4210,4217,4212,4218,4218,4224
0,0,37944,4216,4219,4209,4210,4218,4212,4218,4218,4224
0,7,37944,4216,4219,4209,4210,4218,4212,4218,4218,4224
0,-7,37943,4216,4219,4209,4210,4217,4212,4218,4218,4224
0,0,37944,4216,4219,4209,4210,4218,4212,4218,4218,4224
0,7,37943,4216,4219,4209,4210,4218,4211,4218,4218,4224
0,7,37943,4216,4219,4209,4210,4217,4212,4218,4218,4224
0,7,37943,4216,4219,4209,4210,4218,4211,4218,4218,4224
0,15,37943,4216,4219,4209,4210,4217,4212,4218,4218,4224
0,7,37942,4216,4219,4209,4210,4217,4211,4218,4218,4224
0,15,37944,4216,4219,4209,4210,4218,4212,4218,4218,4224
0,-7,37943,4216,4219,4209,4210,4217,4212,4218,4218,4224
0,-7,37943,4216,4219,4209,4210,4217,4212,4218,4218,4224
0,7,37943,4216,4219,4209,4210,4217,4212,4218,4218,4224
0,0,37943,4216,4219,4209,4210,4218,4211,4218,4218,4224
0,0,37943,4216,4219,4209,4210,4217,4212,4218,4218,4224
0,-7,37943,4216,4219,4209,4210,4217,4212,4218,4218,4224
0,0,37942,4216,4219,4209,4210,4217,4211,4218,4218,4224
0,0,37943,4216,4219,4209,4210,4218,4211,4218,4218,4224
0,-7,37944,4216,4219,4209,4210,4218,4212,4218,4218,4224
0,15,37943,4216,4219,4209,4210,4217,4212,4218,4218,4224
0,7,37942,4216,4219,4209,4210,4217,4211,4218,4218,4224
0,0,37942,4216,4219,4209,4210,4217,4211,4218,4218,4224
0,0,37943,4216,4219,4209,4210,4218,4211,4218,4218,4224
0,-7,37943,4216,4219,4209,4210,4218,4211,4218,4218,4224
0,7,37944,4216,4219,4209,4210,4218,4212,4218,4218,4224
0,0,37943,4216,4219,4209,4210,4217,4212,4218,4218,4224
0,0,37944,4216,4219,4209,4210,4218,4212,4218,4218,4224
0,0,37943,4216,4219,4209,4210,4217,4212,4218,4218,4224
0,7,37943,4216,4219,4209,4210,4218,4211,4218,4218,4224
0,0,37943,4216,4219,4209,4210,4217,4212,4218,4218,4224
0,-7,37944,4216,4219,4209,4210,4218,4212,4218,4218,4224
0,7,37943,4216,4219,4208,4210,4218,4212,4218,4218,4224
0,-7,37944,4216,4219,4209,4210,4218,4212,4218,4218,4224
0,7,37943,4216,4219,4209,4210,4217,4212,4218,4218,4224
0,-7,37944,4216,4219,4209,4210,4218,4212,4218,4218,4224
0,0,37943,4216,4219,4209,4210,4217,4212,4218,4218,4224
0,0,37942,4216,4219,4209,4210,4217,4212,4217,4218,4224
0,0,37943,4216,4219,4209,4210,4217,4212,4218,4218,4224
0,0,37941,4216,4219,4209,4210,4217,4211,4218,4218,4223
0,0,37942,4216,4219,4208,4210,4217,4212,4218,4218,4224
0,0,37942,4216,4219,4209,4210,4217,4211,4218,4218,4224
0,0,37944,4216,4219,4209,4210,4218,4212,4218,4218,4224
0,7,37944,4216,4219,4209,4210,4218,4212,4218,4218,4224
0,7,37944,4216,4219,4209,4210,4218,4212,4218,4218,4224
0,7,37944,4216,4219,4209,4210,4218,4212,4218,4218,4224
0,0,37944,4216,4219,4209,4210,4218,4212,4218,4218,4224
0,0,37944,4216,4219,4209,4210,4218,4212,4218,4218,4224
259,0,37943,4216,4219,4209,4210,4217,4212,4218,4218,4224
565,90,37948,4214,4219,4209,4210,4218,4212,4218,4218,4230
917,606,38182,4344,4223,4213,4215,4222,4215,4222,4222,4306
1238,965,38416,4468,4227,4217,4220,4226,4220,4226,4226,4386
1547,1376,38615,4570,4231,4221,4225,4230,4223,4230,4230,4455
1902,1391,38613,4566,4232,4221,4225,4230,4224,4230,4230,4455
2224,1383,38612,4561,4232,4222,4225,4231,4224,4231,4231,4455
2578,1383,38612,4558,4233,4222,4226,4231,4225,4231,4231,4455
2887,1376,38614,4557,4233,4222,4226,4232,4225,4232,4232,4455
3209,1361,38613,4555,4233,4223,4227,4232,4225,4232,4232,4454
3563,1376,38613,4554,4234,4223,4227,4232,4225,4232,4232,4454
3885,1368,38614,4553,4234,4223,4227,4232,4226,4232,4233,4454
4194,1368,38614,4552,4234,4224,4227,4232,4226,4232,4233,4454
4549,1353,38617,4551,4235,4224,4228,4233,4226,4233,4233,4454
4873,1368,38616,4550,4235,4224,4228,4233,4227,4233,4233,4453
5229,1361,38619,4550,4235,4225,4228,4234,4227,4233,4234,4453
5540,1361,38619,4549,4235,4225,4228,4234,4227,4234,4234,4453
5862,1353,38620,4549,4236,4225,4228,4234,4227,4234,4234,4453
6217,1353,38620,4548,4236,4225,4229,4234,4227,4234,4234,4453
6526,1353,38620,4548,4236,4225,4229,4234,4227,4234,4234,4453
6848,1346,38621,4547,4236,4225,4229,4234,4228,4234,4235,4453
7203,1338,38623,4547,4236,4225,4229,4235,4228,4235,4235,4453
7527,1346,38624,4547,4236,4226,4229,4235,4228,4235,4235,4453
7836,1346,38624,4546,4237,4226,4230,4235,4228,4235,4235,4452
8191,1346,38625,4546,4237,4226,4230,4235,4229,4235,4235,4452
8516,1346,38625,4545,4237,4226,4230,4235,4229,4235,4236,4452
8871,1346,38626,4546,4237,4226,4230,4235,4229,4235,4236,4452
9180,1338,38626,4545,4237,4226,4230,4236,4229,4235,4236,4452
9504,1338,38628,4545,4237,4227,4230,4236,4229,4236,4236,4452
9859,1338,38627,4544,4238,4227,4230,4236,4229,4236,4236,4451
10183,1346,38627,4544,4238,4227,4230,4236,4229,4236,4236,4451
10495,1323,38628,4544,4238,4227,4231,4236,4229,4236,4236,4451
10850,1323,38630,4544,4238,4227,4231,4236,4230,4236,4237,4451
11175,1338,38633,4544,4238,4228,4231,4237,4230,4237,4237,4451
11487,1316,38631,4543,4238,4227,4231,4237,4230,4237,4237,4451
11842,1316,38633,4543,4238,4228,4232,4237,4230,4237,4237,4451
12166,1316,38633,4543,4239,4228,4231,4237,4230,4237,4237,4451
12521,1308,38633,4542,4239,4228,4232,4237,4230,4237,4237,4451
12833,1316,38632,4542,4239,4228,4232,4237,4230,4237,4237,4450
13157,1316,38633,4542,4239,4228,4232,4237,4231,4237,4237,4450
13512,1308,38635,4542,4239,4229,4232,4237,4231,4237,4238,4450
13837,1308,38633,4541,4239,4228,4232,4237,4231,4237,4238,4450
14149,1308,38635,4541,4240,4228,4232,4238,4231,4237,4238,4450
14504,1308,38637,4541,4240,4229,4232,4238,4231,4238,4238,4450
14828,1308,38637,4541,4240,4229,4232,4238,4231,4238,4238,4450
15183,1301,38638,4540,4240,4229,4233,4238,4231,4238,4239,4450
15495,1308,38638,4540,4240,4229,4233,4238,4232,4238,4239,4449
15819,1301,38638,4540,4240,4229,4233,4238,4232,4238,4239,4449
16174,1293,38639,4540,4240,4229,4233,4239,4232,4238,4239,4449
16499,1293,38641,4540,4240,4230,4233,4239,4232,4239,4239,4449
16811,1293,38642,4540,4241,4230,4233,4239,4232,4239,4239,4449
17166,1293,38640,4539,4241,4230,4233,4239,4232,4239,4239,4448
