Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16
0,0,3000,5117,20,3815,3817,3813,3809,3816,3807,3810,3812,3816,7,34315
0,0,3000,5130,19,3815,3818,3813,3809,3816,3807,3810,3812,3816,0,34316
0,0,3000,5130,17,3815,3817,3813,3809,3816,3807,3810,3812,3816,0,34315
0,0,3000,5129,19,3815,3817,3813,3809,3816,3807,3810,3812,3816,7,34315
0,0,3000,5129,20,3815,3817,3813,3809,3816,3807,3810,3812,3816,-7,34315
0,0,3000,5130,20,3815,3818,3813,3809,3816,3807,3810,3812,3816,0,34316
0,0,3000,5130,20,3815,3817,3813,3809,3816,3807,3810,3812,3816,7,34315
0,0,3000,5129,20,3815,3817,3813,3809,3816,3807,3810,3812,3816,-7,34315
0,0,3000,5130,22,3815,3817,3813,3810,3816,3807,3810,3812,3816,-7,34316
0,0,3000,5129,20,3815,3817,3813,3809,3816,3807,3810,3812,3816,7,34315
0,0,3000,5130,19,3815,3817,3814,3809,3816,3807,3810,3812,3816,-7,34316
0,0,3000,5130,19,3815,3817,3813,3809,3816,3807,3810,3812,3816,7,34315
0,0,3000,5129,19,3815,3817,3813,3809,3816,3807,3810,3812,3816,-7,34315
0,0,3000,5130,20,3815,3817,3814,3810,3816,3807,3810,3812,3816,-7,34317
0,0,3000,5130,19,3815,3817,3814,3810,3816,3807,3810,3812,3816,-7,34317
0,0,3000,5143,19,3815,3817,3813,3809,3816,3807,3810,3812,3816,7,34315
0,0,3000,5143,19,3815,3817,3813,3810,3816,3807,3810,3812,3816,0,34316
0,0,3000,5130,19,3815,3817,3813,3809,3816,3807,3810,3812,3816,0,34315
0,0,3000,5143,19,3815,3817,3813,3809,3816,3807,3810,3812,3816,0,34315
0,0,3000,5144,19,3815,3817,3814,3810,3816,3807,3810,3812,3816,-7,34317
0,0,3000,5143,17,3815,3817,3813,3809,3816,3807,3810,3812,3816,0,34315
0,0,3000,5142,19,3815,3818,3813,3809,3816,3807,3810,3812,3816,0,34316
0,0,3000,5143,19,3815,3817,3813,3809,3816,3807,3810,3812,3816,0,34315
0,0,3000,5142,19,3815,3817,3813,3809,3816,3807,3810,3812,3816,-15,34315
0,0,3000,5143,19,3815,3817,3813,3809,3816,3807,3810,3812,3816,0,34315
0,0,3000,5142,17,3815,3817,3813,3809,3816,3807,3810,3812,3816,7,34315
0,0,3000,5143,17,3815,3817,3813,3809,3816,3807,3810,3812,3816,7,34315
0,0,3000,5143,26,3815,3817,3814,3809,3816,3807,3810,3812,3816,0,34316
0,0,3000,5143,19,3815,3817,3813,3809,3816,3807,3810,3812,3816,-7,34315
0,0,3000,3905,17,3815,3817,3813,3809,3816,3807,3810,3812,3816,-7,34315
0,0,3000,4774,15,3815,3817,3814,3809,3816,3807,3810,3812,3816,-7,34316
0,0,3000,5834,20,3815,3817,3813,3809,3816,3806,3810,3812,3816,-7,34314
0,0,3000,6942,19,3815,3817,3813,3809,3816,3807,3810,3812,3816,0,34315
0,0,3000,8141,17,3815,3817,3814,3809,3816,3807,3810,3812,3816,7,34316
0,0,3000,9262,19,3815,3817,3814,3809,3816,3807,3810,3812,3816,0,34316
0,0,3000,10476,14,3815,3817,3814,3809,3816,3807,3810,3812,3816,7,34316
0,0,3000,11608,17,3815,3817,3814,3809,3816,3807,3810,3812,3816,0,34316
0,0,3000,12719,17,3815,3817,3813,3809,3816,3807,3810,3812,3816,0,34315
0,0,3000,13947,14,3815,3817,3814,3809,3816,3807,3810,3812,3816,7,34316
0,0,3000,15066,14,3815,3817,3813,3809,3816,3807,3810,3812,3816,0,34315
0,0,3000,16384,15,3815,3817,3813,3809,3816,3807,3810,3812,3816,-7,34315
0,0,3000,17392,17,3815,3817,3814,3809,3816,3807,3810,3812,3816,7,34316
0,0,3000,18514,22,3815,3817,3813,3809,3816,3806,3810,3812,3816,7,34314
0,0,3000,19839,15,3815,3817,3813,3810,3816,3807,3810,3812,3816,7,34316
0,0,3000,20951,14,3815,3817,3813,3809,3816,3807,3810,3812,3816,0,34315
0,0,3000,21958,14,3815,3817,3813,3809,3816,3807,3810,3812,3816,7,34315
0,0,3000,23284,12,3815,3817,3814,3809,3816,3807,3810,3812,3816,-7,34316
0,0,3000,24392,17,3815,3817,3813,3810,3816,3807,3810,3812,3816,0,34316
0,0,3000,25631,12,3815,3817,3813,3809,3816,3807,3810,3812,3816,0,34315
0,0,3000,26726,11,3815,3817,3814,3809,3816,3807,3810,3812,3816,0,34316
0,0,3000,27854,12,3815,3817,3813,3809,3816,3807,3810,3812,3816,-7,34315
0,0,3000,29076,12,3815,3817,3813,3810,3816,3807,3810,3812,3816,0,34316
0,0,3000,30171,17,3815,3817,3813,3809,3816,3807,3810,3812,3816,0,34315
0,0,3000,31294,25,3815,3817,3813,3809,3816,3807,3810,3812,3816,-7,34315
0,0,3000,32507,12,3815,3817,3813,3809,3816,3807,3810,3812,3816,-7,34315
0,0,3000,33616,15,3815,3817,3813,3809,3816,3807,3810,3812,3816,0,34315
0,0,3000,30494,19,3815,3817,3813,3810,3816,3807,3810,3812,3816,7,34316
258,0,236,33764,17,3815,3817,3813,3809,3816,3807,3810,3812,3816,0,34315
579,0,530,33838,6,3810,3817,3813,3809,3816,3807,3810,3812,3811,-7,34305
947,0,867,33978,363,3918,3820,3816,3813,3819,3810,3813,3815,3916,329,34540
1287,0,1178,34125,726,4055,3824,3820,3817,3823,3814,3817,3818,4026,725,34814
1661,725,1520,34211,1079,4196,3828,3825,3821,3827,3818,3822,3822,4146,1002,35105
1992,725,1559,34240,1277,4296,3831,3828,3825,3831,3822,3825,3825,4251,1331,35334
2338,725,1559,34255,1277,4304,3832,3828,3826,3831,3822,3826,3825,4244,1301,35338
2715,2026,1559,34266,1258,4304,3832,3828,3826,3832,3822,3826,3825,4243,1308,35338
3061,2026,1559,34256,1266,4300,3833,3829,3826,3832,3823,3826,3826,4244,1308,35339
3438,3334,1559,34243,1267,4296,3833,3829,3827,3832,3823,3827,3826,4245,1308,35338
3769,3334,1559,34235,1267,4292,3833,3829,3827,3832,3823,3827,3826,4248,1308,35337
4115,3334,1559,34261,1258,4290,3833,3830,3827,3833,3823,3827,3827,4248,1301,35338
4492,4642,1559,34244,1256,4289,3834,3830,3827,3833,3824,3827,3827,4248,1308,35339
4838,4642,1559,34243,1258,4287,3834,3830,3828,3833,3824,3827,3827,4249,1308,35339
5169,4642,1559,34257,1272,4285,3834,3830,3828,3833,3824,3828,3827,4248,1301,35337
5546,5943,1559,34238,1264,4283,3834,3831,3828,3833,3824,3828,3827,4250,1301,35338
5892,5943,1559,34248,1264,4282,3834,3831,3828,3833,3824,3828,3827,4250,1301,35337
6269,5943,1559,34271,1267,4282,3834,3831,3828,3834,3824,3828,3827,4250,1301,35338
6616,7244,1559,34267,1260,4282,3835,3831,3828,3834,3824,3828,3828,4249,1301,35339
6949,7244,1559,34251,1258,4281,3835,3831,3829,3834,3825,3828,3828,4250,1301,35341
7326,7244,1559,34263,1267,4279,3835,3831,3829,3834,3825,3829,3828,4249,1308,35339
7673,8552,1559,34246,1261,4280,3835,3831,3829,3834,3825,3828,3828,4249,1301,35339
8053,8552,1559,34268,1260,4280,3835,3832,3829,3834,3825,3829,3828,4249,1308,35341
8399,9853,1559,34261,1245,4280,3835,3831,3829,3834,3825,3829,3828,4249,1301,35340
8730,9853,1559,34286,1260,4279,3835,3832,3829,3834,3825,3829,3828,4249,1293,35340
9107,9853,1559,34245,1248,4278,3836,3832,3829,3834,3825,3829,3828,4250,1308,35341
9454,11146,1559,34289,1244,4278,3836,3832,3830,3835,3826,3829,3829,4250,1293,35345
9834,11146,1559,34279,1258,4278,3836,3832,3830,3835,3825,3829,3829,4249,1293,35343
10183,11146,1559,34274,1255,4277,3836,3832,3830,3835,3826,3829,3829,4249,1293,35343
10517,12425,1559,34276,1252,4277,3836,3832,3830,3835,3826,3830,3829,4249,1279,35344
10898,12425,1559,34288,1252,4276,3836,3832,3830,3835,3826,3830,3829,4249,1293,35343
11247,12425,1559,34275,1245,4276,3836,3832,3830,3835,3826,3829,3829,4248,1293,35341
11627,13718,1559,34282,1245,4276,3836,3832,3830,3835,3826,3830,3829,4249,1293,35343
11961,13718,1559,34278,1247,4276,3836,3833,3830,3835,3826,3830,3829,4249,1293,35344
12310,13718,1559,34267,1248,4275,3837,3833,3831,3835,3826,3830,3829,4249,1301,35345
12690,15019,1559,34295,1240,4275,3836,3833,3831,3835,3826,3830,3829,4249,1293,35344
13039,15019,1559,34287,1233,4275,3836,3833,3831,3836,3826,3830,3829,4249,1279,35345
13419,16305,1559,34264,1242,4274,3836,3833,3831,3836,3827,3830,3829,4249,1286,35345
13754,16305,1559,34270,1234,4273,3837,3833,3831,3836,3826,3830,3829,4250,1286,35345
14103,16305,1559,34282,1237,4274,3836,3833,3831,3836,3827,3830,3830,4249,1286,35346
14483,17591,1559,34282,1233,4272,3837,3833,3831,3836,3827,3830,3830,4249,1286,35345
14833,17591,1559,34281,1236,4273,3837,3833,3831,3836,3827,3831,3830,4249,1279,35347
15212,17591,1559,34294,1250,4271,3837,3833,3831,3836,3827,3831,3830,4251,1293,35347
15547,18877,1559,34298,1234,4272,3837,3833,3831,3836,3827,3831,3830,4250,1286,35347
15896,18877,1559,34260,1231,4271,3837,3834,3831,3836,3827,3831,3830,4250,1279,35347
16276,18877,1559,34325,1239,4271,3837,3834,3832,3836,3827,3831,3830,4250,1293,35348
16626,20170,1559,34315,1326,4300,3838,3835,3833,3837,3828,3832,3831,4276,1361,35410
17005,20170,1559,34325,1263,4308,3838,3835,3833,3837,3828,3832,3831,4274,1353,35416
17340,20170,1559,34311,1317,4301,3838,3835,3833,3838,3828,3832,3831,4279,1353,35415
17689,21523,1559,34328,1260,4305,3838,3835,3833,3838,3828,3832,3831,4282,1376,35422
18069,21523,1559,34324,1255,4304,3839,3835,3833,3838,3829,3832,3831,4281,1368,35422
18418,22906,1559,34332,1323,4307,3839,3835,3833,3838,3829,3832,3831,4283,1383,35427
